,rank,number,name,location
650,651,6575,Dakota State University,Madison
651,652,6273,Baldwin Wallace University,Berea
652,653,5182,Fort Lewis College,Durango
653,654,6161,State University of New York College at Plattsburgh,Plattsburgh
654,655,6102,Manhattan College,Riverdale
655,656,5668,Hood College,Frederick
656,657,5690,Washington College,Chestertown
657,658,5742,Salem State University,Salem
658,659,4981,Harding University,Searcy
659,660,6450,Kutztown University of Pennsylvania,Kutztown
660,661,7680,Arcadia University,Glenside
661,662,6157,State University of New York at Fredonia,Fredonia
662,663,5657,University of Southern Maine,Portland
663,664,5060,Dominican University of California,San Rafael
